Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
741	NCT04412291	A Study in Patients With COVID-19 and Respiratory Distress Not Requiring Mechanical Ventilation, to Compare Standard-of-care With Anakinra and Tocilizumab Treatment The Immunomodulation-CoV Assessment (ImmCoVA) Study		Recruiting	No Results Available	Covid-19	Drug: Anakinra Prefilled Syringe|Drug: Tocilizumab Prefilled Syringe|Drug: Standard-of-care treatment	Time to recovery|Mortality|Number of Days on mechanical ventilation|Number of days of supplemental oxygen use|Number of patients requiring initiation of mechanical ventilation|Time to improvement in oxygenation for at least 48 hours|Mean change in the 8-point ordinal scale|Proportion of patients on level e-h on the 8-point ordinal scale at day 15|Time to improvement in one category from admission using the 8-point ordinal scale|Mean change in Sequential organ failure assessment score (SOFA)|Time to resolution of fever for at least 48 hours by clinical severity|Time to change in National Early Warning Score 2 (NEWS2) scoring system|Time to score of <2 maintained for 24 hours in NEWS2 scoring system (National Early Warning Score)|Mean change in NEWS2 scoring system (National Early Warning Score)|Number of days with fever|Number of days of resting respiratory rate >24 breaths/min|Time to saturation ≥94% on room air|Incidence of serious adverse events|Incidence of severe or life-threatening bacterial, invasive fungal, or opportunistic infection|Incidence of severe or life-threatening bacterial, invasive fungal, or opportunistic infection in patients with grade 4 neutropenia|Incidence of hypersensitivity reactions|Incidence of infusion reactions|Number of ventilator free days in the first 28 days|Number of patients requiring non-invasive ventilation|Number of patients requiring the use of high flow nasal cannula|Number of patients requiring Extracorporeal membrane oxygenation (ECMO)|Number of patients that have been admitted into an intensive care unit (ICU)|Number of days of hospitalization in survivors|Number of deaths due to any cause	Karolinska University Hospital|Karolinska Institutet	All	18 Years and older   (Adult, Older Adult)	Phase 2	120	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020-001748-24	June 11, 2020	August 2020	February 2021	June 2, 2020		June 26, 2020	Karolinska University Hospital, Huddinge, Stockholm, Sweden		https://ClinicalTrials.gov/show/NCT04412291
742	NCT04575064	An International Randomized Trial of Additional Treatments for COVID-19 in Hospitalized Patients Who Are All Receiving the Local Standard of Care - WHO-SOLIDARITY-GERMANY		Active, not recruiting	No Results Available	SARS-CoV-2 Infection|COVID-19|Moderate and Severe COVID-19	Other: Standard of Care (SoC)|Drug: Remdesivir	Improvement of clinical status on the ordinal 7-point severity-scale at day 15.|Time to an improvement of one category from admission using the 7-point ordinal scale|Mortality: 28 days mortality; in-house mortality|Hospital stay: Duration of hospital stay due to COVID-19|Oxygen: Need of, time to first receiving and duration of oxygen|Intensive care: Need of, time to first receiving and duration of intensive care|Mechanical ventilation: Need of, time to first receiving and duration of mechanical ventilation|ECMO: Need of, time to first receiving and duration for extracorporeal membrane oxygenation|Superinfections, assessed with pathogen testing|Kidney failure|Myocardial failure|Multiple organ failure	Professor Dr. Bernd Mühlbauer|Dept. of Statistics and Medical Biometry, University of Bremen|INSERM (Institut national de la santé et de la recherche médicale), Paris, France|World Health Organization (WHO), R&D Blueprint, Geneva, Switzerland|Klinikum Bremen-Mitte, gGmbH	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	400	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	WHO-SOLIDARITY-GERMANY|2020-001549-38	June 29, 2020	March 2022	November 2022	October 5, 2020		October 5, 2020	Gesundheit Nord gGmbH, Bremen, Germany|Universitätsklinikum Gießen, Gießen, Germany|Medizinische Hochschule Hannover (MHH), Hannover, Germany|Technische Universität München (TUM), München, Germany		https://ClinicalTrials.gov/show/NCT04575064
743	NCT04551911	Safety and Efficacy of Rayaldee for Treating Mild to Moderate COVID-19		Not yet recruiting	No Results Available	Covid19|Coronavirus|SARS-CoV-2 Infection	Drug: Rayaldee 30Mcg Extended-Release (ER) Capsule|Drug: Placebo	Severity and duration of disease as evidenced by COVID-19 symptoms using the FLU-PRO© questionnaire.|Concentration of serum total 25-hydroxyvitamin D maintained at or above 50 ng/mL.	OPKO Health, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 2	160	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	CTAP101-CL-2014	September 2020	February 2021	April 2021	September 16, 2020		September 21, 2020			https://ClinicalTrials.gov/show/NCT04551911
744	NCT04429854	Donated Antibodies Working Against nCoV	DAWN-Plasma	Recruiting	No Results Available	COVID-19	Biological: Convalescent Plasma|Drug: Standard of care	Patients requiring mechanical ventilation or death|Clinical status of subject at day 15 and day 30 (on a 10-point "WHO progression" ordinal scale)	Universitaire Ziekenhuizen Leuven|Federal Knowledge Centre (KCE)	All	18 Years and older   (Adult, Older Adult)	Phase 2	483	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	S63992	May 2, 2020	November 2, 2021	November 2, 2021	June 12, 2020		June 12, 2020	ZNA, Antwerpen, Belgium|Institut Bordet, Brussel, Belgium|UMC Sint-Pieter, Brussel, Belgium|CHU Brugmann, Brussel, Belgium|Erasmus Ziekenhuis, Brussel, Belgium|UZ Brussel, Brussel, Belgium|Cliniques Universitaires St Luc, Brussel, Belgium|AZ Groeninge, Kortrijk, Belgium|UZ Leuven, Leuven, Belgium|CHC Liège Mont Légia, Liège, Belgium|CHR Citadelle Liège, Liège, Belgium|CHU Liège Sart-Tilman, Liège, Belgium|CHR Jolimont Mons-Hainaut, Mons, Belgium|AZ Delta, Roeselare, Belgium		https://ClinicalTrials.gov/show/NCT04429854
745	NCT04356833	Nebulised Rt-PA for ARDS Due to COVID-19	PACA	Recruiting	No Results Available	COVID	Drug: nebulised recombinant tissue-Plasminogen Activator (rt-PA)	treatment efficacy - Percentage change in PaO2/FiO2 ratio|Safety as measured by bleeds|Safety as measured by other (non-bleed related) adverse events|Safety as measured by fibrinogen levels|Absolute change in PaO2/FiO2 ratio|Changes in respiratory compliance|Clinical status as determined by a 7 point ordinal scale|Sequential Organ Failure Assessment (SOFA) score|Follow up period - oxygen free days|Follow up period - ventilator free days|Follow up period - intensive care stay|New oxygen via ventilation use - incidence|New oxygen via ventilation use - duration|Incidence of new mechanical ventilation use|Duration of new mechanical ventilation use|In hospital mortality	University College, London	All	16 Years to 70 Years   (Child, Adult, Older Adult)	Phase 2	24	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	132151	April 22, 2020	January 14, 2021	January 14, 2021	April 22, 2020		April 30, 2020	The Royal Free Hospital, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04356833
746	NCT04559113	Methylprednisolone in COVID-19 Patients (Methyl19LGH)	Methyl19LGH	Recruiting	No Results Available	SARS-CoV Infection|SARS (Severe Acute Respiratory Syndrome)	Drug: Methylprednisolone Injectable Product	Clinical response after administration|Clinical response to treatment|Duration of hospitalization	Lahore General Hospital	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	200	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	LGH005	May 1, 2020	October 30, 2020	October 30, 2020	September 22, 2020		September 22, 2020	Muhammad Irfan Malik, Lahore, Punjab, Pakistan		https://ClinicalTrials.gov/show/NCT04559113
747	NCT04504734	Bucillamine in Treatment of Patients With COVID-19		Enrolling by invitation	No Results Available	Covid19	Drug: Bucillamine|Drug: Placebo	Efficacy: Frequency of hospitalization or death|Safety: Changes in adverse events from baseline to end of study	Revive Therapeutics, Ltd.	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 3	1000	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	RT-003	September 30, 2020	February 1, 2021	May 1, 2021	August 7, 2020		October 1, 2020	Research Site, Los Angeles, California, United States|Research Site, Modesto, California, United States|Research Stite, Hollywood, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT04504734
748	NCT04351516	Test and Treat COVID 65plus+	COVID65plus	Recruiting	No Results Available	SARS-CoV 2|COVID-19	Drug: Hydroxychloroquine|Other: Placebo	● Rate of hospitalization or death at day 7 after study inclusion	University Hospital Tuebingen	All	65 Years and older   (Older Adult)	Phase 2|Phase 3	350	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	COVID65plus|2020-001482-37	April 21, 2020	December 31, 2020	May 1, 2021	April 17, 2020		May 27, 2020	Uniklinikum Tuebingen, Tuebingen, Germany|Uniklinikum Ulm, Ulm, Germany		https://ClinicalTrials.gov/show/NCT04351516
749	NCT03944447	Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19	OMNI-Can	Recruiting	No Results Available	Chronic Pain|Chronic Pain Syndrome|Chronic Pain Due to Injury|Chronic Pain Due to Trauma|Fibromyalgia|Seizures|Hepatitis C|Cancer|Crohn Disease|HIV/AIDS|Multiple Sclerosis|Traumatic Brain Injury|Sickle Cell Disease|Post Traumatic Stress Disorder|Tourette Syndrome|Ulcerative Colitis|Glaucoma|Epilepsy|Inflammatory Bowel Diseases|Parkinson Disease|Amyotrophic Lateral Sclerosis|Chronic Traumatic Encephalopathy|Anxiety|Depression|Insomnia|Autism|Opioid-use Disorder|Bipolar Disorder|Covid19|SARS-CoV Infection|COVID-19|Corona Virus Infection|Coronavirus	Drug: Cannabis, Medical	Prevention of COVID-19|Treatment of COVID-19|Treatment of Symptoms|Cannabis Impact on Quality of Life|Cannabis Route and Dosing|Monitoring Adverse Events	OMNI Medical Services, LLC|OMNI Medical Services Inc	All	7 Years and older   (Child, Adult, Older Adult)	Phase 2	200000	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro00033337	December 1, 2018	December 31, 2025	December 31, 2025	May 9, 2019		August 28, 2020	OMNI Medical Services, Boca Raton, Florida, United States|OMNI Medical Services, Bradenton, Florida, United States|OMNI Medical Services, Fort Lauderdale, Florida, United States|OMNI Medical Services, Fort Myers, Florida, United States|OMNI Medical Services, Gainesville, Florida, United States|OMNI Medical Services, Merritt Island, Florida, United States|OMNI Medical Services, Miami, Florida, United States|OMNI Medical Services, Ocoee, Florida, United States|OMNI Medical Services, Pensacola, Florida, United States|OMNI Medical Services, Pompano Beach, Florida, United States|OMNI Medical Services, Tampa, Florida, United States|OMNI Medical Services, Wesley Chapel, Florida, United States|OMNI Medical Services, Beechwood, Ohio, United States|OMNI Medical Services, Bowling Green, Ohio, United States|OMNI Medical Services, Sandusky, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States		https://ClinicalTrials.gov/show/NCT03944447
750	NCT04330144	Hydroxychloroquine as Post Exposure Prophylaxis for SARS-CoV-2(HOPE Trial)		Not yet recruiting	No Results Available	Contact Person From COVID-19 Confirmed Patient	Drug: Hydroxychloroquine as post exposure prophylaxis|Other: Others(No intervention)	The rate of COVID-19	Gangnam Severance Hospital	All	18 Years to 99 Years   (Adult, Older Adult)	Phase 3	2486	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention	3-2020-0036	April 1, 2020	March 30, 2021	March 30, 2022	April 1, 2020		April 1, 2020			https://ClinicalTrials.gov/show/NCT04330144
751	NCT04458363	Convalescent Plasma in Pediatric COVID-19		Recruiting	No Results Available	COVID	Biological: Convalescent Plasma (CP)|Drug: Standard COVID-19 therapies	Number of grade 3-5 adverse events that are possible, probably or definitely related to the convalescent plasma (CP) infusion|Change in percent of supplemental oxygen|Number of patients that required change in level of respiratory support|Mortality|Mean length of ICU stay (days)|Mean length of hospital stay (days)|Mean length of ventilation (days)|Number of patients with progression to renal dysfunction and/or multisystem organ failure|IL-6 level|Number of anti-SARS CoV 2 specific T cells|Diversity of circulating T cells|ARS-CoV-2 Antibody Titer|SARS-CoV-2 Neutralizing Titer	Emory University	All	up to 22 Years   (Child, Adult)	Early Phase 1	50	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00000789	July 2020	June 2022	June 2022	July 7, 2020		July 7, 2020	Children's Healthcare of Atlanta, Atlanta, Georgia, United States		https://ClinicalTrials.gov/show/NCT04458363
752	NCT04389580	Combination Therapy With Isotretinoin and Tamoxifen Expected to Provide Complete Protection Against Severe Acute Respiratory Syndrome Coronavirus	Combination	Not yet recruiting	No Results Available	COVID-19	Drug: Drug: Isotretinoin plus Tamoxifen|Drug: Aerosolized Isotretinoin plus Tamoxifen	lung injury score|Absolute lymphocyte counts|Serum levels of CRP, ESR ,IL-1,IL-6,TNF and Type I interferon|Serum level of COVID19 RNA|All cause mortality rate|Ventilation free days|ICU free days|d-dimers|Time to first negative SARS-CoV-2 PCR in NP swap	Kafrelsheikh University	All	18 Years to 70 Years   (Adult, Older Adult)	Phase 2	160	Other	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	COV-19 Treatment This is	June 2020	August 2020	September 2020	May 15, 2020		June 4, 2020			https://ClinicalTrials.gov/show/NCT04389580
753	NCT04334148	Healthcare Worker Exposure Response and Outcomes of Hydroxychloroquine	HERO-HCQ	Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Placebo oral tablet	Number of participants with clinical infection with COVID-19 infection|Number of participants with COVID-19 viral shedding|Safety as measured by number of adverse events	Adrian Hernandez|Patient-Centered Outcomes Research Institute|Duke University	All	18 Years and older   (Adult, Older Adult)	Phase 3	2000	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention	Pro00105274	April 22, 2020	October 2020	October 2020	April 6, 2020		August 25, 2020	Children's Hospital Colorado/University of Colorado Denver, Aurora, Colorado, United States|University of Florida, Gainesville, Florida, United States|University of Florida Jacksonville, Jacksonville, Florida, United States|University of Florida Health Central Florida, Leesburg, Florida, United States|University of Miami Florida, Miami, Florida, United States|Advent Health, Orlando, Florida, United States|University of South Florida, Tampa, Florida, United States|Northwestern Medicine, Chicago, Illinois, United States|Rush University, Chicago, Illinois, United States|University of Iowa, Iowa City, Iowa, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University Medical Center New Orleans, New Orleans, Louisiana, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Johns Hopkins, Baltimore, Maryland, United States|University of Michigan, Ann Arbor, Michigan, United States|Allina Health, Minneapolis, Minnesota, United States|Mayo Clinic Hospital Rochester, Rochester, Minnesota, United States|University of Missouri-Columbia, Columbia, Missouri, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Hospital for Special Surgery, New York, New York, United States|Columbia University, Irving Medical Center, New York, New York, United States|Weill Cornell Medicine, New York, New York, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest Baptist Health Sciences, Winston-Salem, North Carolina, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, United States|Clinical Trials Center of Middle Tennessee, Franklin, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Baylor Scott & White Medical Center-Temple, Temple, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States|Marshfield Clinic Health System, Marshfield, Wisconsin, United States		https://ClinicalTrials.gov/show/NCT04334148
